customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4264-TVUVF,Male,0,Yes,No,31,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,41.96,1246.2,No
2742-ASUOF,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),96.77,1787.99,No
8258-KELNJ,Female,0,No,Yes,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,91.37,4367.23,No
4048-FWQUR,Male,0,Yes,No,34,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),54.74,1817.61,No
7348-FRLDE,Male,0,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,41.3,467.42,Yes
8702-PZERH,Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),68.98,532.45,No
5891-ZGGII,Male,0,No,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,56.25,216.11,Yes
5521-SVJZM,Female,0,Yes,No,0,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,53.82,53.82,Yes
3126-LUNCM,Male,0,Yes,No,59,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Electronic check,102.92,6010.11,No
6768-LYEOI,Male,0,No,Yes,6,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.02,485.11,Yes
9498-ZCYFE,Female,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),102.14,1018.3,Yes
6408-OEHXX,Female,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,44.73,989.56,No
1142-SXHOJ,Female,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,66.97,3383.45,No
7513-VFMWP,Female,0,Yes,Yes,12,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,56.35,702.32,Yes
7199-VGWWL,Female,0,Yes,No,25,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),82.89,2047.66,No
3115-FNOPZ,Female,0,No,No,55,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,80.88,4425.18,No
